"policy_id","industry","vehicle_type","territory","fleet_size","years_in_business","driver_age","driver_age_band","exposure","claims","total_loss","severity","pure_premium","freq_lambda","sev_mu"
940,"Construction","Light_Truck","Suburban",34,13,40,"31–40",0.940068373456597,0,0,NA,0,0.136385119621083,8820
941,"Healthcare","Delivery_Truck","Urban",49,22,51,"51–60",0.528121304116212,0,0,NA,0,0.128832551532629,12012
942,"Retail","Cargo_Van","Suburban",27,21,21,"21–30",0.836928003933281,0,0,NA,0,0.0979205764601938,7000
943,"Logistics","Box_Truck","Urban",29,12,55,"51–60",0.808375342865475,1,10332.4483933745,10332.4483933745,12781.746109114,0.282818197454915,18900
944,"Logistics","Cargo_Van","Urban",23,9,24,"21–30",0.574215376749635,0,0,NA,0,0.136261308902688,12600
945,"Construction","Box_Truck","Rural",25,10,35,"31–40",0.596198401646689,0,0,NA,0,0.0873490278252563,11760
946,"Construction","Box_Truck","Urban",45,27,47,"41–50",0.647023620083928,1,6732.71187451417,6732.71187451417,10405.6662933586,0.238460555181932,17640
947,"Logistics","Box_Truck","Urban",23,37,67,"61–70",0.841862584813498,0,0,NA,0,0.27968358792674,18900
948,"Logistics","Cargo_Van","Suburban",28,19,56,"51–60",0.888737355591729,1,14747.3908392889,14747.3908392889,16593.6434948996,0.146819411143754,10500
949,"Logistics","Box_Truck","Urban",26,23,64,"61–70",0.903232787386514,0,0,NA,0,0.308038509810297,18900
950,"Logistics","Light_Truck","Suburban",44,3,69,"61–70",0.840254437876865,1,18156.89896762,18156.89896762,21608.8105568338,0.14186855929113,9450
951,"Retail","Delivery_Truck","Suburban",17,26,48,"41–50",0.508146257605404,0,0,NA,0,0.0706831444329117,9100
952,"Construction","Cargo_Van","Urban",13,29,53,"51–60",0.707038103835657,0,0,NA,0,0.142008603155392,11760
953,"Healthcare","Light_Truck","Urban",16,19,58,"51–60",0.514451804454438,0,0,NA,0,0.0662562478956871,8316
954,"Construction","Cargo_Van","Suburban",38,3,66,"61–70",0.653770036296919,1,12737.1390768332,12737.1390768332,19482.5984209659,0.108787334039807,9800
955,"Logistics","Cargo_Van","Rural",14,35,21,"21–30",0.817222311277874,1,5382.688511794,5382.688511794,6586.56578205409,0.0832912979654409,8400
956,"Healthcare","Cargo_Van","Suburban",25,5,25,"21–30",0.820913058589213,0,0,NA,0,0.0849645015639835,7700
957,"Retail","Light_Truck","Urban",27,18,63,"61–70",0.590213756309822,0,0,NA,0,0.0932242628091364,7560
958,"Construction","Light_Truck","Rural",24,20,22,"21–30",0.896500073489733,0,0,NA,0,0.0837026258614424,7056
959,"Logistics","Light_Truck","Urban",44,19,61,"61–70",0.597328450414352,0,0,NA,0,0.151279403351939,11340
960,"Logistics","Delivery_Truck","Rural",29,10,38,"31–40",0.674608381465077,0,0,NA,0,0.102274678280394,10920
961,"Retail","Light_Truck","Urban",34,26,30,"21–30",0.691860548220575,0,0,NA,0,0.115817455772124,7560
962,"Logistics","Box_Truck","Suburban",3,6,23,"21–30",0.746880761231296,0,0,NA,0,0.136141425157241,15750
963,"Retail","Light_Truck","Suburban",27,25,44,"41–50",0.56922872341238,0,0,NA,0,0.0599397845753236,6300
964,"Construction","Light_Truck","Urban",35,15,49,"41–50",0.988667045370676,0,0,NA,0,0.216888833078192,10584
965,"Healthcare","Box_Truck","Urban",48,37,68,"61–70",0.601167110842653,0,0,NA,0,0.156796405849981,13860
966,"Retail","Delivery_Truck","Urban",46,9,34,"31–40",0.720365240937099,0,0,NA,0,0.191040861896519,10920
967,"Retail","Cargo_Van","Urban",44,38,44,"41–50",0.807287105824798,0,0,NA,0,0.162264708270785,8400
968,"Construction","Box_Truck","Urban",28,6,57,"51–60",0.894673669245094,0,0,NA,0,0.288210175810615,17640
969,"Professional","Cargo_Van","Urban",21,19,36,"31–40",0.718782248557545,0,0,NA,0,0.0837740710693819,7560
970,"Retail","Delivery_Truck","Suburban",39,31,51,"51–60",0.808860652381554,0,0,NA,0,0.135645931404387,9100
971,"Professional","Cargo_Van","Rural",17,26,24,"21–30",0.678084976971149,0,0,NA,0,0.0355519953425974,5040
972,"Construction","Light_Truck","Urban",26,12,24,"21–30",0.969807175686583,0,0,NA,0,0.197433344826275,10584
973,"Professional","Delivery_Truck","Urban",18,34,65,"61–70",0.55084210052155,0,0,NA,0,0.0812051424588869,9828
974,"Logistics","Light_Truck","Urban",39,5,32,"31–40",0.790589525364339,0,0,NA,0,0.19275363217908,11340
975,"Logistics","Delivery_Truck","Urban",46,14,35,"31–40",0.65124449855648,0,0,NA,0,0.24179405742405,16380
976,"Retail","Delivery_Truck","Urban",44,10,58,"51–60",0.505126621923409,0,0,NA,0,0.131989586308587,10920
977,"Healthcare","Light_Truck","Suburban",9,38,61,"61–70",0.926994207547978,0,0,NA,0,0.0743356655032723,6930
978,"Construction","Light_Truck","Urban",13,33,39,"31–40",0.683157018735074,0,0,NA,0,0.123490878491646,10584
979,"Logistics","Light_Truck","Suburban",4,5,56,"51–60",0.816334242583252,0,0,NA,0,0.0966866276915604,9450
980,"Logistics","Cargo_Van","Suburban",24,36,61,"61–70",0.563296118983999,1,9605.30593693163,9605.30593693163,17051.965410762,0.0899020605898462,10500
981,"Retail","Light_Truck","Urban",34,33,25,"21–30",0.977113753906451,0,0,NA,0,0.16356884240394,7560
982,"Professional","Cargo_Van","Urban",49,25,46,"41–50",0.884748999495059,0,0,NA,0,0.129129116476304,7560
983,"Healthcare","Light_Truck","Urban",32,29,44,"41–50",0.505118076922372,0,0,NA,0,0.0748736525422032,8316
984,"Retail","Cargo_Van","Urban",42,18,66,"61–70",0.845744118094444,0,0,NA,0,0.1674573353827,8400
985,"Healthcare","Cargo_Van","Suburban",25,35,44,"41–50",0.763631024281494,0,0,NA,0,0.0790358110131347,7700
986,"Professional","Light_Truck","Rural",4,7,39,"31–40",0.882506041089073,0,0,NA,0,0.0365834054273064,4536
987,"Construction","Box_Truck","Rural",34,17,25,"21–30",0.770718589774333,0,0,NA,0,0.12175503993819,11760
988,"Construction","Cargo_Van","Suburban",25,30,23,"21–30",0.872014114400372,0,0,NA,0,0.130366110102856,9800
989,"Construction","Delivery_Truck","Suburban",36,37,32,"31–40",0.513494227896444,0,0,NA,0,0.109343460888269,12740
990,"Logistics","Light_Truck","Suburban",42,36,50,"41–50",0.713751628063619,0,0,NA,0,0.118711170779541,9450
991,"Construction","Delivery_Truck","Urban",6,38,56,"51–60",0.907218937878497,0,0,NA,0,0.220780800722111,15288
992,"Construction","Cargo_Van","Suburban",19,35,45,"41–50",0.717729332158342,0,0,NA,0,0.101702246366837,9800
993,"Retail","Delivery_Truck","Urban",15,15,33,"31–40",0.503081986797042,0,0,NA,0,0.103006036796694,10920
994,"Logistics","Light_Truck","Urban",16,39,56,"51–60",0.904118032078259,0,0,NA,0,0.181131006546558,11340
995,"Retail","Cargo_Van","Rural",12,10,37,"31–40",0.791324373101816,0,0,NA,0,0.0565005602394696,5600
996,"Professional","Light_Truck","Suburban",49,39,21,"21–30",0.509191138902679,0,0,NA,0,0.0445898680337076,5670
997,"Retail","Light_Truck","Suburban",30,37,27,"21–30",0.545959158916958,0,0,NA,0,0.0589635891630314,6300
998,"Logistics","Cargo_Van","Urban",42,33,51,"51–60",0.910845699603669,0,0,NA,0,0.252486427930137,12600
999,"Professional","Light_Truck","Urban",46,11,29,"21–30",0.863610496860929,0,0,NA,0,0.110991221056567,6804
1000,"Construction","Cargo_Van","Suburban",27,14,53,"51–60",0.856226999312639,0,0,NA,0,0.130232126595452,9800
1001,"Logistics","Light_Truck","Rural",4,29,47,"41–50",0.690100377309136,0,0,NA,0,0.0572148420819459,7560
1002,"Retail","Cargo_Van","Urban",2,16,26,"21–30",0.883087878348306,0,0,NA,0,0.121866127212066,8400
1003,"Construction","Light_Truck","Urban",17,7,48,"41–50",0.809839207446203,0,0,NA,0,0.152075655570285,10584
1004,"Healthcare","Box_Truck","Urban",23,37,41,"41–50",0.809347203350626,0,0,NA,0,0.172852282219593,13860
1005,"Professional","Light_Truck","Suburban",33,8,47,"41–50",0.950049212784506,0,0,NA,0,0.0736193134986714,5670
1006,"Retail","Light_Truck","Rural",43,16,52,"51–60",0.778120575239882,0,0,NA,0,0.0651987229993497,5040
1007,"Professional","Delivery_Truck","Urban",43,14,37,"31–40",0.79181709967088,0,0,NA,0,0.14375043535975,9828
1008,"Logistics","Light_Truck","Suburban",32,39,51,"51–60",0.936894287122414,0,0,NA,0,0.144019389816457,9450
1009,"Construction","Light_Truck","Urban",10,13,47,"41–50",0.57241565361619,0,0,NA,0,0.100458947209641,10584
1010,"Logistics","Light_Truck","Suburban",1,3,69,"61–70",0.808526005595922,0,0,NA,0,0.0927055918016285,9450
1011,"Retail","Delivery_Truck","Suburban",32,7,53,"51–60",0.665181539603509,0,0,NA,0,0.105497792181117,9100
1012,"Logistics","Light_Truck","Urban",34,27,60,"51–60",0.972620683372952,0,0,NA,0,0.227943383355285,11340
1013,"Construction","Box_Truck","Rural",43,29,67,"61–70",0.756032362463884,0,0,NA,0,0.128103635560605,11760
1014,"Retail","Delivery_Truck","Suburban",45,20,46,"41–50",0.829738041968085,0,0,NA,0,0.145619026365399,9100
1015,"Construction","Cargo_Van","Suburban",35,23,61,"61–70",0.951813987223431,0,0,NA,0,0.154669772923808,9800
1016,"Professional","Box_Truck","Rural",19,39,36,"31–40",0.903766641044058,0,0,NA,0,0.0675782468174284,7560
1017,"Retail","Cargo_Van","Urban",23,7,35,"31–40",0.67098597844597,0,0,NA,0,0.113732123346592,8400
1018,"Retail","Box_Truck","Urban",36,5,64,"61–70",0.550383675843477,0,0,NA,0,0.145631520628184,12600
1019,"Retail","Delivery_Truck","Rural",8,20,53,"51–60",0.64555794862099,0,0,NA,0,0.0575708578580199,7280
1020,"Logistics","Light_Truck","Urban",40,23,36,"31–40",0.683521641185507,0,0,NA,0,0.167941267239279,11340
1021,"Retail","Cargo_Van","Urban",10,12,47,"41–50",0.655116000329144,0,0,NA,0,0.0982674000493717,8400
1022,"Professional","Delivery_Truck","Rural",41,39,35,"31–40",0.835270420648158,0,0,NA,0,0.0697008107918268,6552
1023,"Retail","Light_Truck","Suburban",2,38,25,"21–30",0.757386239129119,0,0,NA,0,0.062711580599891,6300
1024,"Logistics","Light_Truck","Suburban",12,34,70,"61–70",0.615173483616672,1,10957.268509584,10957.268509584,17811.6723191074,0.0790620961144147,9450
1025,"Professional","Light_Truck","Urban",1,36,62,"61–70",0.714007842703722,0,0,NA,0,0.0614011044333066,6804
1026,"Logistics","Light_Truck","Suburban",17,16,39,"31–40",0.827220424311236,1,1588.02107038798,1588.02107038798,1919.70727960471,0.111525857605641,9450
1027,"Retail","Cargo_Van","Suburban",41,18,37,"31–40",0.750682811718434,0,0,NA,0,0.0983394483351149,7000
1028,"Retail","Cargo_Van","Suburban",25,25,26,"21–30",0.505987464799546,0,0,NA,0,0.0581885584519478,7000
1029,"Logistics","Light_Truck","Urban",26,22,63,"61–70",0.99370128987357,0,0,NA,0,0.217859070791882,11340
1030,"Retail","Box_Truck","Suburban",1,20,65,"61–70",0.627908358233981,0,0,NA,0,0.0799955248390092,10500
1031,"Construction","Cargo_Van","Urban",22,35,21,"21–30",0.995412234566174,0,0,NA,0,0.217398032029253,11760
1032,"Retail","Cargo_Van","Rural",46,23,67,"61–70",0.903446938260458,0,0,NA,0,0.0860081485223956,5600
1033,"Logistics","Cargo_Van","Suburban",26,3,68,"61–70",0.800663975765929,0,0,NA,0,0.130027829664387,10500
1034,"Construction","Delivery_Truck","Rural",5,33,55,"51–60",0.841204386320896,0,0,NA,0,0.094538754956674,10192
1035,"Retail","Box_Truck","Rural",41,28,46,"41–50",0.5808228981914,0,0,NA,0,0.0745660436698119,8400
1036,"Retail","Cargo_Van","Rural",31,36,21,"21–30",0.941464185831137,0,0,NA,0,0.0797420165398973,5600
1037,"Construction","Delivery_Truck","Rural",50,1,24,"21–30",0.514345751143992,0,0,NA,0,0.0851859433044679,10192
1038,"Retail","Cargo_Van","Suburban",37,39,49,"41–50",0.763839423889294,0,0,NA,0,0.0970076068339404,7000
1039,"Logistics","Delivery_Truck","Suburban",32,24,26,"21–30",0.898145130602643,0,0,NA,0,0.199424144799011,13650
1040,"Logistics","Cargo_Van","Rural",17,30,60,"51–60",0.547057153657079,0,0,NA,0,0.0573644131324813,8400
1041,"Professional","Cargo_Van","Urban",50,6,35,"31–40",0.71674483991228,1,6402.8503889584,6402.8503889584,8933.23541714234,0.105361491467105,7560
1042,"Professional","Box_Truck","Suburban",24,40,46,"41–50",0.869072223897092,0,0,NA,0,0.0970927488537831,9450
1043,"Retail","Delivery_Truck","Suburban",7,32,44,"41–50",0.502728953841142,0,0,NA,0,0.0633941210793681,9100
1044,"Retail","Light_Truck","Suburban",1,34,34,"31–40",0.918925230391324,0,0,NA,0,0.0752599763690494,6300
1045,"Construction","Cargo_Van","Urban",2,9,26,"21–30",0.654049547039904,0,0,NA,0,0.117336488738959,11760
1046,"Construction","Cargo_Van","Rural",6,25,25,"21–30",0.953161112731323,0,0,NA,0,0.0832681548082083,7840
1047,"Logistics","Cargo_Van","Suburban",7,28,27,"21–30",0.927501731202938,1,9491.02702212868,9491.02702212868,10232.8941314418,0.125954735097359,10500
1048,"Construction","Cargo_Van","Urban",7,3,27,"21–30",0.787816335214302,1,15482.3851763333,15482.3851763333,19652.277420881,0.149015459805785,11760
1049,"Healthcare","Cargo_Van","Rural",16,19,31,"31–40",0.597918769926764,0,0,NA,0,0.0399290154557093,6160
1050,"Healthcare","Cargo_Van","Suburban",11,38,41,"41–50",0.984079240006395,0,0,NA,0,0.0894528029165813,7700
1051,"Professional","Light_Truck","Urban",33,40,58,"51–60",0.580505874822848,0,0,NA,0,0.0674751003600337,6804
1052,"Professional","Light_Truck","Suburban",21,34,45,"41–50",0.519534542574547,0,0,NA,0,0.0363310505622381,5670
1053,"Healthcare","Light_Truck","Rural",10,25,24,"21–30",0.780510273645632,0,0,NA,0,0.0442549325157073,5544
1054,"Retail","Cargo_Van","Rural",30,31,53,"51–60",0.928565573412925,0,0,NA,0,0.0779995081666857,5600
1055,"Retail","Light_Truck","Urban",20,3,24,"21–30",0.812038212781772,0,0,NA,0,0.120587674598093,7560
1056,"Logistics","Delivery_Truck","Urban",43,17,37,"31–40",0.574762022937648,0,0,NA,0,0.208690342908431,16380
1057,"Professional","Light_Truck","Urban",34,19,32,"31–40",0.504547631833702,0,0,NA,0,0.0591228914982732,6804
1058,"Construction","Cargo_Van","Urban",2,4,68,"61–70",0.867433455772698,0,0,NA,0,0.155617561965622,11760
1059,"Logistics","Cargo_Van","Suburban",18,21,42,"41–50",0.68586185539607,0,0,NA,0,0.103702312535886,10500
1060,"Professional","Cargo_Van","Urban",17,29,59,"51–60",0.719964950811118,0,0,NA,0,0.0808880622236291,7560
1061,"Professional","Delivery_Truck","Rural",6,36,54,"51–60",0.601379132596776,0,0,NA,0,0.036775536716558,6552
1062,"Construction","Light_Truck","Urban",44,4,69,"61–70",0.754718193900771,0,0,NA,0,0.177487077659644,10584
1063,"Logistics","Light_Truck","Urban",8,36,23,"21–30",0.708515370730311,0,0,NA,0,0.131231216966668,11340
1064,"Logistics","Light_Truck","Rural",8,11,46,"41–50",0.793251043767668,0,0,NA,0,0.0685654472191022,7560
1065,"Construction","Cargo_Van","Urban",35,6,24,"21–30",0.950496652745642,0,0,NA,0,0.23168355910675,11760
1066,"Professional","Light_Truck","Urban",33,6,68,"61–70",0.77169501723256,0,0,NA,0,0.0896979703280266,6804
1067,"Retail","Light_Truck","Suburban",46,11,44,"41–50",0.850063878460787,0,0,NA,0,0.1040478187236,6300
1068,"Construction","Cargo_Van","Rural",20,39,23,"21–30",0.785061465692706,0,0,NA,0,0.0785846527158399,7840
1069,"Healthcare","Delivery_Truck","Rural",3,4,22,"21–30",0.822256740182638,0,0,NA,0,0.062628829129491,8008
1070,"Retail","Light_Truck","Rural",50,14,27,"21–30",0.890457642031834,0,0,NA,0,0.0785383640272077,5040
1071,"Professional","Light_Truck","Rural",13,34,44,"41–50",0.769360920065083,0,0,NA,0,0.0349466810721162,4536
1072,"Professional","Light_Truck","Rural",5,5,53,"51–60",0.81378716987092,0,0,NA,0,0.0340936134817422,4536
1073,"Healthcare","Box_Truck","Suburban",37,31,24,"21–30",0.833264713874087,0,0,NA,0,0.133339019514131,11550
1074,"Professional","Delivery_Truck","Urban",13,32,58,"51–60",0.809075137367472,0,0,NA,0,0.11375191893818,9828
1075,"Retail","Cargo_Van","Rural",13,28,26,"21–30",0.543162785936147,0,0,NA,0,0.0391620368659962,5600
1076,"Retail","Cargo_Van","Urban",44,27,64,"61–70",0.723185317823663,0,0,NA,0,0.145360248882556,8400
1077,"Logistics","Box_Truck","Suburban",10,9,49,"41–50",0.904958387254737,0,0,NA,0,0.177371843901929,15750
1078,"Construction","Box_Truck","Suburban",37,23,63,"61–70",0.812692829058506,0,0,NA,0,0.187845820508583,14700
1079,"Logistics","Cargo_Van","Suburban",35,5,67,"61–70",0.64775214844849,0,0,NA,0,0.113356625978486,10500
1080,"Logistics","Light_Truck","Urban",37,36,35,"31–40",0.975447405595332,0,0,NA,0,0.234136640765048,11340
1081,"Logistics","Cargo_Van","Suburban",45,6,68,"61–70",0.990258072968572,0,0,NA,0,0.18715877579106,10500
1082,"Construction","Delivery_Truck","Suburban",29,31,45,"41–50",0.766131952870637,0,0,NA,0,0.154076797041814,12740
1083,"Logistics","Delivery_Truck","Rural",34,20,41,"41–50",0.998133080312982,0,0,NA,0,0.157681071495524,10920
1084,"Logistics","Cargo_Van","Urban",29,16,37,"31–40",0.702448111143894,0,0,NA,0,0.175541782974859,12600
1085,"Professional","Delivery_Truck","Urban",12,11,52,"51–60",0.625521911657415,0,0,NA,0,0.0870914157600619,9828
1086,"Logistics","Light_Truck","Urban",12,17,49,"41–50",0.589910682989284,0,0,NA,0,0.113722981466674,11340
1087,"Construction","Light_Truck","Urban",7,31,65,"61–70",0.644041790859774,0,0,NA,0,0.109638454267014,10584
1088,"Construction","Cargo_Van","Suburban",10,38,24,"21–30",0.940264587290585,0,0,NA,0,0.122234396347776,9800
1089,"Professional","Delivery_Truck","Urban",38,20,61,"61–70",0.807935985387303,0,0,NA,0,0.14116257536687,9828
1090,"Retail","Cargo_Van","Suburban",4,6,30,"21–30",0.937648149672896,0,0,NA,0,0.0881389260692522,7000
1091,"Professional","Delivery_Truck","Suburban",30,5,52,"51–60",0.523420450859703,0,0,NA,0,0.0571575132338796,8190
1092,"Construction","Cargo_Van","Suburban",11,27,26,"21–30",0.70225960877724,0,0,NA,0,0.0922066866324516,9800
1093,"Construction","Cargo_Van","Suburban",33,33,21,"21–30",0.854958904907107,0,0,NA,0,0.136707928894646,9800
1094,"Construction","Cargo_Van","Urban",42,33,62,"61–70",0.716205095290206,0,0,NA,0,0.184351191527699,11760
1095,"Professional","Light_Truck","Suburban",28,11,69,"61–70",0.826367384404875,0,0,NA,0,0.0614321513566584,5670
1096,"Professional","Delivery_Truck","Urban",47,34,56,"51–60",0.532016969053075,0,0,NA,0,0.0994898332977703,9828
1097,"Healthcare","Cargo_Van","Rural",32,25,41,"41–50",0.919615786173381,0,0,NA,0,0.0706816693252861,6160
1098,"Retail","Cargo_Van","Rural",34,3,44,"41–50",0.978890830068849,0,0,NA,0,0.0849677240499761,5600
1099,"Logistics","Delivery_Truck","Urban",2,11,47,"41–50",0.966930213617161,0,0,NA,0,0.242854192452086,16380
1100,"Construction","Light_Truck","Urban",5,31,56,"51–60",0.729686770238914,0,0,NA,0,0.121657026768083,10584
1101,"Professional","Delivery_Truck","Rural",36,5,23,"21–30",0.720059536281042,0,0,NA,0,0.057793418500989,6552
1102,"Professional","Light_Truck","Urban",25,13,50,"41–50",0.622157749603502,0,0,NA,0,0.0676129934381606,6804
1103,"Construction","Cargo_Van","Rural",10,26,52,"51–60",0.820374771603383,0,0,NA,0,0.0746541042159079,7840
1104,"Professional","Light_Truck","Suburban",11,11,49,"41–50",0.778608762542717,0,0,NA,0,0.0495428755605931,5670
1105,"Healthcare","Light_Truck","Suburban",46,17,53,"51–60",0.74645299767144,0,0,NA,0,0.0822292622234859,6930
1106,"Retail","Delivery_Truck","Rural",21,20,65,"61–70",0.720071243704297,0,0,NA,0,0.072734396326571,7280
1107,"Retail","Delivery_Truck","Suburban",35,36,26,"21–30",0.903515317942947,0,0,NA,0,0.146821239165729,9100
1108,"Healthcare","Light_Truck","Rural",38,9,24,"21–30",0.975988101912662,0,0,NA,0,0.0708333124844134,5544
1109,"Healthcare","Cargo_Van","Suburban",3,30,61,"61–70",0.558229756657965,0,0,NA,0,0.0467238306322717,7700
1110,"Professional","Cargo_Van","Rural",29,15,37,"31–40",0.789689897210337,0,0,NA,0,0.0460468179063348,5040
1111,"Construction","Delivery_Truck","Urban",44,12,36,"31–40",0.94921664474532,0,0,NA,0,0.322439402053538,15288
1112,"Professional","Cargo_Van","Urban",19,5,51,"51–60",0.507389383390546,0,0,NA,0,0.058070714929048,7560
1113,"Retail","Light_Truck","Urban",27,37,68,"61–70",0.868531958549283,0,0,NA,0,0.137184622852859,7560
1114,"Logistics","Light_Truck","Rural",18,19,32,"31–40",0.608590249437839,0,0,NA,0,0.0579718728004508,7560
1115,"Logistics","Light_Truck","Urban",32,38,60,"51–60",0.547299245954491,0,0,NA,0,0.126196260132187,11340
1116,"Construction","Cargo_Van","Suburban",41,14,37,"31–40",0.800093211000785,0,0,NA,0,0.136255873833434,9800
1117,"Logistics","Delivery_Truck","Suburban",1,17,29,"21–30",0.601829925202765,0,0,NA,0,0.0996750722120819,13650
1118,"Healthcare","Delivery_Truck","Rural",27,14,24,"21–30",0.506695346091874,0,0,NA,0,0.0485530681485616,8008
1119,"Logistics","Light_Truck","Rural",47,31,64,"61–70",0.866555986111052,0,0,NA,0,0.104709426025743,7560
1120,"Retail","Light_Truck","Suburban",22,26,48,"41–50",0.7011238548439,0,0,NA,0,0.0706732845682651,6300
1121,"Construction","Box_Truck","Urban",50,24,64,"61–70",0.994743452989496,0,0,NA,0,0.380190947732585,17640
1122,"Construction","Cargo_Van","Urban",11,20,61,"61–70",0.591766083263792,0,0,NA,0,0.116548330098804,11760
1123,"Professional","Light_Truck","Suburban",8,33,54,"51–60",0.666614347719587,0,0,NA,0,0.0411567698282073,5670
1124,"Logistics","Cargo_Van","Suburban",27,16,60,"51–60",0.851760611403733,0,0,NA,0,0.139518388147932,10500
1125,"Construction","Cargo_Van","Urban",2,8,56,"51–60",0.783353478298523,0,0,NA,0,0.140533614006755,11760
1126,"Construction","Light_Truck","Suburban",7,7,66,"61–70",0.71052190719638,0,0,NA,0,0.0806371312477172,8820
1127,"Healthcare","Light_Truck","Rural",21,15,55,"51–60",0.643710679607466,1,2805.17905318066,2805.17905318066,4357.82587123031,0.0405132190424551,5544
1128,"Retail","Light_Truck","Urban",35,37,30,"21–30",0.567722578183748,0,0,NA,0,0.0958031850685074,7560
1129,"Construction","Box_Truck","Urban",33,23,38,"31–40",0.704846895067021,1,8531.9873847156,8531.9873847156,12104.7385530503,0.236680538894555,17640
1130,"Retail","Light_Truck","Urban",3,12,52,"51–60",0.545429542311467,1,13363.3485725319,13363.3485725319,24500.5954681141,0.0684786790372047,7560
1131,"Retail","Delivery_Truck","Urban",18,19,30,"21–30",0.945702614379115,2,6563.55322918532,3281.77661459266,6940.39873570034,0.199164970588242,10920
1132,"Professional","Delivery_Truck","Suburban",49,19,65,"61–70",0.607708073803224,0,0,NA,0,0.0768689942553698,8190
1133,"Professional","Light_Truck","Rural",4,35,64,"61–70",0.684144974802621,0,0,NA,0,0.0283605457854678,4536
1134,"Retail","Light_Truck","Suburban",31,39,35,"31–40",0.883834485081024,0,0,NA,0,0.0962495754253236,6300
1135,"Professional","Cargo_Van","Rural",17,37,56,"51–60",0.764436256024055,0,0,NA,0,0.0400793929033412,5040
1136,"Professional","Light_Truck","Urban",28,30,59,"51–60",0.967486494919285,0,0,NA,0,0.107884419048449,6804
1137,"Logistics","Light_Truck","Suburban",13,17,51,"51–60",0.82588671031408,0,0,NA,0,0.107183577264561,9450
1138,"Logistics","Delivery_Truck","Rural",50,24,39,"31–40",0.732349454076029,0,0,NA,0,0.130621848629001,10920
1139,"Retail","Light_Truck","Rural",42,24,52,"51–60",0.957007607910782,0,0,NA,0,0.0795847526738606,5040
1140,"Logistics","Cargo_Van","Suburban",26,6,47,"41–50",0.802406741073355,0,0,NA,0,0.130310854750313,10500
1141,"Professional","Light_Truck","Urban",46,31,46,"41–50",0.792404911131598,0,0,NA,0,0.101839879178633,6804
1142,"Logistics","Light_Truck","Rural",1,38,49,"41–50",0.540809734491631,0,0,NA,0,0.0434064709097673,7560
1143,"Construction","Light_Truck","Rural",49,40,32,"31–40",0.574089273926802,0,0,NA,0,0.0653548970331011,7056
1144,"Healthcare","Light_Truck","Suburban",4,1,69,"61–70",0.624365461058915,0,0,NA,0,0.0475391862050258,6930
1145,"Construction","Delivery_Truck","Urban",35,13,47,"41–50",0.625700242933817,0,0,NA,0,0.198268764479653,15288
1146,"Logistics","Delivery_Truck","Urban",32,23,65,"61–70",0.577920911367983,0,0,NA,0,0.19248233874022,16380
1147,"Retail","Cargo_Van","Urban",44,7,25,"21–30",0.740558104938827,0,0,NA,0,0.148852179092704,8400
1148,"Retail","Light_Truck","Urban",15,29,35,"31–40",0.779049694887362,0,0,NA,0,0.110430294250284,7560
1149,"Logistics","Light_Truck","Rural",27,24,66,"61–70",0.644835942308418,0,0,NA,0,0.0665432002305749,7560
1150,"Construction","Delivery_Truck","Urban",46,16,55,"51–60",0.683450249140151,1,26126.9653542693,26126.9653542693,38228.0427684966,0.235626307893558,15288
1151,"Healthcare","Light_Truck","Rural",8,36,28,"21–30",0.920562278479338,0,0,NA,0,0.0511519635659829,5544
1152,"Retail","Cargo_Van","Suburban",5,19,31,"31–40",0.623359497869387,0,0,NA,0,0.0592191522975918,7000
1153,"Professional","Delivery_Truck","Suburban",15,36,24,"21–30",0.534504133393057,0,0,NA,0,0.0510718699457066,8190
1154,"Healthcare","Cargo_Van","Urban",47,23,44,"41–50",0.979764405754395,0,0,NA,0,0.181207426844275,9240
1155,"Retail","Light_Truck","Urban",23,40,67,"61–70",0.748862850130536,0,0,NA,0,0.114239027787413,7560
1156,"Logistics","Cargo_Van","Rural",20,17,44,"41–50",0.966931448318064,0,0,NA,0,0.104235210128687,8400
1157,"Construction","Delivery_Truck","Rural",20,37,25,"21–30",0.749268407351337,0,0,NA,0,0.0975022978486295,10192
1158,"Healthcare","Delivery_Truck","Urban",18,21,68,"61–70",0.767297719954513,0,0,NA,0,0.145433609840178,12012
1159,"Retail","Light_Truck","Urban",4,33,53,"51–60",0.828015514183789,0,0,NA,0,0.105075168749923,7560
1160,"Construction","Box_Truck","Urban",50,28,61,"61–70",0.585352017893456,0,0,NA,0,0.223721541238879,17640
1161,"Logistics","Delivery_Truck","Rural",7,20,50,"41–50",0.793597317184322,0,0,NA,0,0.0980711692630041,10920
1162,"Construction","Cargo_Van","Suburban",33,18,28,"21–30",0.934903129935265,0,0,NA,0,0.149491010476649,9800
1163,"Retail","Delivery_Truck","Rural",26,39,53,"51–60",0.946992881479673,0,0,NA,0,0.0999645685689943,7280
1164,"Construction","Box_Truck","Suburban",39,15,44,"41–50",0.61494602356106,1,9547.90251768948,9547.90251768948,15526.4074436956,0.144377027411666,14700
1165,"Construction","Light_Truck","Urban",35,36,62,"61–70",0.76017389819026,1,10597.8932890893,10597.8932890893,13941.4064522863,0.166763148915488,10584
1166,"Construction","Delivery_Truck","Rural",21,12,31,"31–40",0.503421129425988,0,0,NA,0,0.0661057387683147,10192
